grade,term_num,purpose,n,ead,avg_pd,avg_intrate,std_intrate,n_intrate,el_premium,el_12m_model,el_12m_l1,r_req_raw,above_pricing_cap,r_req,pricing_gap,approx_gap_ci_low,approx_gap_ci_high,ci_reliable,sig_reprice,sig_grow,bucket,ec,raroc
C,36.0,credit_card,28070,216534475.86,0.060218674714891236,0.14296421001117512,0.012612385122393278,28070.0,0.05427509152053147,11752428.494651813,12045902.107865945,0.11427509152053147,False,0.11427509152053147,0.02868911849064365,0.028541573622615196,0.028836663358672104,True,False,True,Grow,23125882.021848,0.4090741431708207
C,36.0,debt_consolidation,78442,606528474.73,0.07345190219610347,0.14381336029679118,0.012756206674696017,78442.0,0.06620219944934805,40153519.05578432,41553276.64793569,0.12620219944934807,False,0.12620219944934807,0.017611160847443103,0.017521892949350887,0.017700428745535318,True,False,True,Grow,64777241.101164,0.30534794800976706
C,36.0,home_improvement,9112,59732892.54,0.061821886375853674,0.1436435338893001,0.012716471384674103,9112.0,0.055720066190556916,3328320.7260822235,3447455.0630630977,0.11572006619055693,False,0.11572006619055693,0.027923467698743168,0.027662367108365435,0.0281845682891209,True,False,True,Grow,6379472.923272,0.40190512826538566
C,36.0,house,1019,8626941.04,0.07870718753509114,0.1452983680779099,0.0125619948383952,1019.0,0.07093878812537764,611984.742606685,616502.0727371887,0.13093878812537763,False,0.13093878812537763,0.014359579952532286,0.013588286562227575,0.015130873342836998,True,False,True,Grow,921357.3030719998,0.2749024340124745
C,36.0,major_purchase,3579,19765994.65,0.06826451434143177,0.14372134042693616,0.012865993040203206,3579.0,0.061526806775932454,1216138.5335646644,1262366.0545177727,0.12152680677593246,False,0.12152680677593246,0.022194533651003698,0.021773021058064765,0.02261604624394263,True,False,True,Grow,2111008.2286199997,0.34826342369853647
C,36.0,medical,2486,10157413.27,0.08080702341135197,0.1436187757922005,0.012848881865222853,2486.0,0.07283137020065153,739778.3261483804,757742.6593499611,0.13283137020065156,False,0.13283137020065156,0.010787405591548949,0.010282322459340687,0.01129248872375721,True,False,True,Grow,1084811.737236,0.24145510853510274
C,36.0,moving,1487,5911753.24,0.09546917112874337,0.1447254629894801,0.012922961920348273,1487.0,0.0860463639383364,508684.8708026794,538102.0673854689,0.14604636393833642,False,0.14604636393833642,-0.0013209009488563128,-0.001977733506145135,-0.0006640683915674905,True,False,False,Hold / Monitor,631375.2460319999,0.12808145178973498
C,36.0,other,13513,63044454.73,0.07175218978618289,0.1439922638875605,0.01268566171346476,13513.0,0.06467024865428664,4077100.563663017,4242679.060275871,0.12467024865428665,False,0.12467024865428665,0.019322015233273857,0.01910812777056102,0.019535902695986693,True,False,True,Grow,6733147.765163999,0.3213671838321523
C,36.0,renewable_energy,134,632809.95,0.09507057070292817,0.14610782229850156,0.012709417272148972,134.0,0.08568710537454916,54223.65286771318,58016.7947949141,0.14568710537454915,False,0.14568710537454915,0.00042071692395240223,-0.00173117933435607,0.0025726131822608744,True,False,False,Hold / Monitor,67584.10265999999,0.14438873524300008
C,36.0,small_business,1830,14688368.49,0.10336460387012442,0.14444996637288185,0.012577863938521687,1830.0,0.09316251746814314,1368405.3860281482,1442390.7187129809,0.15316251746814313,False,0.15316251746814313,-0.008712551095261284,-0.009288825643018611,-0.008136276547503957,True,True,False,Reprice,1568717.754732,0.05887124442639244
